9:24:54 PM: Executing task ':Application.main()'...

> Task :compileJava
> Task :processResources NO-SOURCE
> Task :classes

> Task :Application.main()
Rune_0 created with Fire:8236, Earth:2745, Water:4900, Dark:99807, Light:15881
Rune_330 created with Fire:5054, Earth:3586, Water:2594, Dark:12936157, Light:11234
Rune_331 created with Fire:4608, Earth:8612, Water:8444, Dark:12969573, Light:21664
Rune_332 created with Fire:4899, Earth:6964, Water:2405, Dark:13010385, Light:14268
Rune_333 created with Fire:4598, Earth:5076, Water:5047, Dark:13050744, Light:14721
Rune_334 created with Fire:8485, Earth:5045, Water:4025, Dark:13088269, Light:17555
Rune_335 created with Fire:6525, Earth:2201, Water:2884, Dark:13131739, Light:11610
Rune_336 created with Fire:7227, Earth:4992, Water:5082, Dark:13169518, Light:17301
Rune_337 created with Fire:5466, Earth:8358, Water:6092, Dark:13204682, Light:19916
Rune_338 created with Fire:3690, Earth:5118, Water:4288, Dark:13246666, Light:13096
Rune_339 created with Fire:8078, Earth:8487, Water:5424, Dark:13279757, Light:21989
Rune_340 created with Fire:2569, Earth:2588, Water:1764, Dark:13327916, Light:6921
Rune_341 created with Fire:2690, Earth:6096, Water:7170, Dark:13367040, Light:15956
Rune_342 created with Fire:5002, Earth:8894, Water:10721, Dark:13397503, Light:24617
Rune_343 created with Fire:5074, Earth:4157, Water:3900, Dark:13439452, Light:13131
Rune_344 created with Fire:5149, Earth:3165, Water:5764, Dark:13480454, Light:14078
Rune_345 created with Fire:3870, Earth:6118, Water:5826, Dark:13519720, Light:15814
Rune_346 created with Fire:7322, Earth:2340, Water:3226, Dark:13561912, Light:12888
Rune_347 created with Fire:4183, Earth:6777, Water:1530, Dark:13604502, Light:12490
Rune_348 created with Fire:6291, Earth:3957, Water:3932, Dark:13645402, Light:14180
Rune_349 created with Fire:3019, Earth:6456, Water:4083, Dark:13686924, Light:13558
Rune_350 created with Fire:5178, Earth:6360, Water:2913, Dark:13727553, Light:14451
Rune_351 created with Fire:2651, Earth:4808, Water:5050, Dark:13770124, Light:12509
Rune_352 created with Fire:9173, Earth:1922, Water:5568, Dark:13808541, Light:16663
Rune_353 created with Fire:4888, Earth:1632, Water:7082, Dark:13850019, Light:13602
Rune_354 created with Fire:10404, Earth:6662, Water:5930, Dark:13882103, Light:22996
Rune_355 created with Fire:5706, Earth:6886, Water:7249, Dark:13917342, Light:19841
Rune_356 created with Fire:2505, Earth:4116, Water:8530, Dark:13957271, Light:15151
Rune_357 created with Fire:6958, Earth:5877, Water:2796, Dark:13996720, Light:15631
Rune_358 created with Fire:5562, Earth:6966, Water:5918, Dark:14033354, Light:18446
Rune_359 created with Fire:7964, Earth:2529, Water:4949, Dark:14072992, Light:15442
Rune_360 created with Fire:5153, Earth:6699, Water:4546, Dark:14111674, Light:16398
Rune_361 created with Fire:5506, Earth:5109, Water:7304, Dark:14148835, Light:17919
Rune_362 created with Fire:4160, Earth:5277, Water:4632, Dark:14189846, Light:14069
Rune_363 created with Fire:5669, Earth:9587, Water:6927, Dark:14222743, Light:22183
Rune_364 created with Fire:3691, Earth:3773, Water:3286, Dark:14267073, Light:10750
Rune_365 created with Fire:2426, Earth:6017, Water:8949, Dark:14304761, Light:17392
Rune_366 created with Fire:7656, Earth:7480, Water:4002, Dark:14340703, Light:19138
Rune_367 created with Fire:5030, Earth:3558, Water:2774, Dark:14384421, Light:11362
Rune_368 created with Fire:5894, Earth:5899, Water:7106, Dark:14420602, Light:18899
Rune_369 created with Fire:7715, Earth:7352, Water:6130, Dark:14454485, Light:21197
Rune_370 created with Fire:8645, Earth:9542, Water:4445, Dark:14486933, Light:22632
Rune_371 created with Fire:3771, Earth:5571, Water:6645, Dark:14526026, Light:15987
Rune_372 created with Fire:5222, Earth:6592, Water:3079, Dark:14566213, Light:14893
Rune_373 created with Fire:5767, Earth:4952, Water:6262, Dark:14604312, Light:16981
Rune_374 created with Fire:7647, Earth:6717, Water:7228, Dark:14637800, Light:21592
Rune_375 created with Fire:4215, Earth:5967, Water:6357, Dark:14676341, Light:16539
Rune_376 created with Fire:6835, Earth:2368, Water:7224, Dark:14714994, Light:16427
Rune_377 created with Fire:3768, Earth:5317, Water:3515, Dark:14757474, Light:12600
Rune_378 created with Fire:10236, Earth:6883, Water:3237, Dark:14792198, Light:20356
Rune_379 created with Fire:5574, Earth:5323, Water:2647, Dark:14833734, Light:13544
Rune_380 created with Fire:4733, Earth:2126, Water:2240, Dark:14879715, Light:9099
Rune_381 created with Fire:6632, Earth:5159, Water:4991, Dark:14918013, Light:16782
Rune_382 created with Fire:6977, Earth:6157, Water:3950, Dark:14956009, Light:17084
Rune_383 created with Fire:2477, Earth:4150, Water:1768, Dark:15002694, Light:8395
Rune_384 created with Fire:7335, Earth:4019, Water:4385, Dark:15042035, Light:15739
Rune_385 created with Fire:6703, Earth:3673, Water:6224, Dark:15080515, Light:16600
Rune_386 created with Fire:4936, Earth:6677, Water:3369, Dark:15120613, Light:14982
Rune_387 created with Fire:5895, Earth:3924, Water:6752, Dark:15159122, Light:16571
Rune_388 created with Fire:9280, Earth:8810, Water:6613, Dark:15189499, Light:24703
Rune_389 created with Fire:4575, Earth:3988, Water:5713, Dark:15230303, Light:14276
Rune_390 created with Fire:7430, Earth:4159, Water:3095, Dark:15270699, Light:14684
Rune_391 created with Fire:6296, Earth:8331, Water:2281, Dark:15308871, Light:16908
Rune_392 created with Fire:7472, Earth:5459, Water:903, Dark:15350117, Light:13834
Rune_393 created with Fire:2698, Earth:2955, Water:2866, Dark:15396678, Light:8519
Rune_394 created with Fire:6287, Earth:8497, Water:5921, Dark:15431053, Light:20705
Rune_395 created with Fire:5223, Earth:4929, Water:6970, Dark:15469011, Light:17122
Rune_396 created with Fire:9530, Earth:5054, Water:3867, Dark:15505640, Light:18451
Rune_397 created with Fire:5423, Earth:8055, Water:6057, Dark:15541185, Light:19535
Rune_398 created with Fire:6372, Earth:9687, Water:5892, Dark:15574314, Light:21951
Rune_399 created with Fire:9554, Earth:5261, Water:4503, Dark:15610076, Light:19318
Rune_400 created with Fire:4667, Earth:7208, Water:6833, Dark:15646448, Light:18708
Rune_401 created with Fire:7700, Earth:10199, Water:8521, Dark:15675108, Light:26420
Rune_402 created with Fire:4144, Earth:5291, Water:5893, Dark:15714860, Light:15328
Rune_403 created with Fire:2013, Earth:3871, Water:3774, Dark:15760282, Light:9658
Rune_404 created with Fire:4492, Earth:2170, Water:3940, Dark:15804760, Light:10602
Rune_405 created with Fire:5410, Earth:10480, Water:6765, Dark:15837185, Light:22655
Rune_406 created with Fire:4190, Earth:5302, Water:4205, Dark:15878568, Light:13697
Rune_407 created with Fire:5218, Earth:6687, Water:6386, Dark:15915357, Light:18291
Rune_408 created with Fire:5437, Earth:6794, Water:8138, Dark:15950068, Light:20369
Rune_409 created with Fire:4178, Earth:7892, Water:3998, Dark:15989080, Light:16068
Rune_410 created with Fire:8338, Earth:4102, Water:7648, Dark:16024072, Light:20088
Rune_411 created with Fire:5717, Earth:6794, Water:4389, Dark:16062252, Light:16900
Rune_412 created with Fire:4995, Earth:7774, Water:8213, Dark:16096350, Light:20982
Rune_413 created with Fire:5277, Earth:3901, Water:6370, Dark:16135882, Light:15548
Rune_414 created with Fire:4836, Earth:1670, Water:6664, Dark:16177792, Light:13170
Rune_415 created with Fire:6258, Earth:4135, Water:5840, Dark:16216639, Light:16233
Rune_416 created with Fire:8124, Earth:7710, Water:6866, Dark:16249019, Light:22700
Rune_417 created with Fire:2176, Earth:2226, Water:6967, Dark:16292730, Light:11369
Rune_418 created with Fire:6121, Earth:8929, Water:4213, Dark:16328547, Light:19263
Rune_419 created with Fire:4025, Earth:4352, Water:5283, Dark:16369967, Light:13660
Rune_420 created with Fire:4298, Earth:5194, Water:6582, Dark:16408973, Light:16074
Rune_421 created with Fire:2839, Earth:6131, Water:5022, Dark:16450061, Light:13992
Rune_422 created with Fire:5773, Earth:7249, Water:5133, Dark:16486986, Light:18155
Rune_423 created with Fire:4457, Earth:8822, Water:5311, Dark:16523476, Light:18590
Rune_424 created with Fire:7302, Earth:8244, Water:4037, Dark:16558973, Light:19583
Rune_425 created with Fire:9243, Earth:3239, Water:5709, Dark:16595862, Light:18191
Rune_426 created with Fire:7861, Earth:6126, Water:5569, Dark:16631386, Light:19556
Rune_427 created with Fire:6021, Earth:3762, Water:2763, Dark:16673920, Light:12546
Rune_428 created with Fire:2657, Earth:7538, Water:6983, Dark:16711822, Light:17178
Rune_429 created with Fire:3435, Earth:5475, Water:7415, Dark:16750577, Light:16325
Rune_430 created with Fire:3218, Earth:1190, Water:4692, Dark:16796557, Light:9100
Rune_431 created with Fire:2481, Earth:5115, Water:5351, Dark:16838690, Light:12947
Rune_432 created with Fire:6664, Earth:1014, Water:9465, Dark:16876627, Light:17143
Rune_433 created with Fire:5503, Earth:3227, Water:7099, Dark:16915878, Light:15829
Rune_434 created with Fire:4802, Earth:9660, Water:4398, Dark:16952098, Light:18860
Rune_435 created with Fire:6534, Earth:4438, Water:6792, Dark:16989414, Light:17764
Rune_436 created with Fire:3748, Earth:7621, Water:9201, Dark:17023924, Light:20570
Rune_437 created with Fire:4490, Earth:8720, Water:6364, Dark:17059430, Light:19574
Rune_438 created with Fire:1663, Earth:3912, Water:6681, Dark:17102254, Light:12256
Rune_439 created with Fire:2337, Earth:4235, Water:3728, Dark:17147034, Light:10300
Rune_440 created with Fire:3636, Earth:3281, Water:6147, Dark:17189050, Light:13064
Rune_441 created with Fire:6401, Earth:3640, Water:9025, Dark:17225064, Light:19066
Rune_442 created with Fire:1237, Earth:8594, Water:7561, Dark:17262752, Light:17392
Rune_443 created with Fire:5130, Earth:2880, Water:5785, Dark:17304037, Light:13795
Rune_444 created with Fire:4177, Earth:3936, Water:4560, Dark:17346444, Light:12673
Rune_445 created with Fire:6683, Earth:3614, Water:4889, Dark:17386338, Light:15186
Rune_446 created with Fire:5934, Earth:7361, Water:8355, Dark:17419768, Light:21650
Rune_447 created with Fire:6104, Earth:7317, Water:6314, Dark:17455113, Light:19735
Rune_448 created with Fire:6076, Earth:8450, Water:2774, Dark:17492893, Light:17300
Rune_449 created with Fire:2484, Earth:6090, Water:4213, Dark:17535186, Light:12787
Rune_450 created with Fire:1529, Earth:5104, Water:4785, Dark:17578848, Light:11418
Rune_451 created with Fire:5222, Earth:2567, Water:4681, Dark:17621458, Light:12470
Rune_452 created with Fire:3767, Earth:4847, Water:7896, Dark:17660028, Light:16510
Rune_453 created with Fire:3056, Earth:4942, Water:5458, Dark:17701652, Light:13456
Rune_454 created with Fire:4025, Earth:6628, Water:2926, Dark:17743153, Light:13579
Rune_455 created with Fire:3688, Earth:5374, Water:3052, Dark:17786119, Light:12114
Rune_456 created with Fire:4929, Earth:3453, Water:2926, Dark:17829891, Light:11308
Rune_457 created with Fire:3786, Earth:7862, Water:5968, Dark:17867355, Light:17616
Rune_458 created with Fire:12030, Earth:8211, Water:6223, Dark:17895971, Light:26464
Rune_459 created with Fire:2812, Earth:4886, Water:3998, Dark:17939355, Light:11696
Rune_460 created with Fire:5046, Earth:8214, Water:6898, Dark:17974277, Light:20158
Rune_461 created with Fire:10022, Earth:4310, Water:5881, Dark:18009144, Light:20213
Rune_462 created with Fire:4003, Earth:2026, Water:6026, Dark:18052169, Light:12055
Rune_463 created with Fire:4778, Earth:4396, Water:3357, Dark:18094718, Light:12531
Rune_464 created with Fire:6930, Earth:3297, Water:4389, Dark:18135182, Light:14616
Rune_465 created with Fire:4923, Earth:4507, Water:3706, Dark:18177126, Light:13136
Rune_466 created with Fire:2770, Earth:4428, Water:3638, Dark:18221370, Light:10836
Rune_467 created with Fire:10228, Earth:6409, Water:10166, Dark:18249647, Light:26803
Rune_468 created with Fire:7084, Earth:9691, Water:8854, Dark:18279098, Light:25629
Rune_469 created with Fire:2586, Earth:4131, Water:8772, Dark:18318689, Light:15489
Rune_470 created with Fire:3543, Earth:3234, Water:7291, Dark:18359701, Light:14068
Rune_471 created with Fire:4316, Earth:8548, Water:3794, Dark:18398123, Light:16658
Rune_472 created with Fire:6802, Earth:4418, Water:4095, Dark:18437888, Light:15315
Rune_473 created with Fire:9287, Earth:2457, Water:6542, Dark:18474682, Light:18286
Rune_474 created with Fire:7333, Earth:5400, Water:3260, Dark:18513769, Light:15993
Rune_475 created with Fire:5427, Earth:4951, Water:5773, Dark:18552698, Light:16151
Rune_476 created with Fire:7380, Earth:3226, Water:5408, Dark:18591764, Light:16014
Rune_477 created with Fire:2929, Earth:4350, Water:4933, Dark:18634632, Light:12212
Rune_478 created with Fire:1213, Earth:5169, Water:7035, Dark:18676295, Light:13417
Rune_479 created with Fire:4728, Earth:580, Water:4247, Dark:18721820, Light:9555
Rune_480 created with Fire:5293, Earth:980, Water:2194, Dark:18768433, Light:8467
Rune_481 created with Fire:4911, Earth:4334, Water:2535, Dark:18811733, Light:11780
Rune_482 created with Fire:4177, Earth:4861, Water:7711, Dark:18850064, Light:16749
Rune_483 created with Fire:7703, Earth:6444, Water:4323, Dark:18886674, Light:18470
Rune_484 created with Fire:4072, Earth:7548, Water:8305, Dark:18921829, Light:19925
Rune_485 created with Fire:4260, Earth:2831, Water:2359, Dark:18967459, Light:9450
Rune_486 created with Fire:4144, Earth:6723, Water:3634, Dark:19008038, Light:14501
Rune_487 created with Fire:6339, Earth:6524, Water:10117, Dark:19040138, Light:22980
Rune_488 created with Fire:3161, Earth:3750, Water:2543, Dark:19085764, Light:9454
Rune_489 created with Fire:5624, Earth:6339, Water:6395, Dark:19122486, Light:18358
Rune_490 created with Fire:556, Earth:4600, Water:6084, Dark:19166326, Light:11240
Rune_491 created with Fire:5704, Earth:2226, Water:3061, Dark:19210415, Light:10991
Rune_492 created with Fire:5871, Earth:8179, Water:1972, Dark:19249473, Light:16022
Rune_493 created with Fire:6828, Earth:7150, Water:6501, Dark:19284074, Light:20479
Rune_494 created with Fire:4536, Earth:3672, Water:5760, Dark:19325186, Light:13968
Rune_495 created with Fire:4198, Earth:7744, Water:10732, Dark:19357592, Light:22674
Rune_496 created with Fire:4339, Earth:5359, Water:6016, Dark:19396958, Light:15714
Rune_497 created with Fire:9284, Earth:8889, Water:5670, Dark:19428195, Light:23843
Rune_498 created with Fire:5146, Earth:1545, Water:6249, Dark:19470335, Light:12940
Rune_499 created with Fire:4464, Earth:5209, Water:5665, Dark:19510077, Light:15338
Rune_500 created with Fire:7377, Earth:5884, Water:6689, Dark:19545207, Light:19950
Rune_501 created with Fire:6653, Earth:8331, Water:8272, Dark:19577031, Light:23256
Rune_502 created with Fire:3624, Earth:2553, Water:6210, Dark:19619724, Light:12387
Rune_503 created with Fire:8540, Earth:5483, Water:6610, Dark:19654171, Light:20633
Rune_504 created with Fire:3465, Earth:6646, Water:6727, Dark:19692413, Light:16838
Rune_505 created with Fire:4716, Earth:3564, Water:450, Dark:19738763, Light:8730
Rune_506 created with Fire:4650, Earth:5922, Water:5803, Dark:19777468, Light:16375
Rune_507 created with Fire:7213, Earth:6124, Water:7164, Dark:19812047, Light:20501
Rune_508 created with Fire:5511, Earth:7434, Water:4611, Dark:19849571, Light:17556
Rune_509 created with Fire:7673, Earth:1173, Water:4902, Dark:19890903, Light:13748
Rune_510 created with Fire:4930, Earth:4691, Water:9760, Dark:19926602, Light:19381
Rune_511 created with Fire:3400, Earth:2176, Water:5392, Dark:19970714, Light:10968
Rune_512 created with Fire:9817, Earth:10731, Water:5911, Dark:19999335, Light:26459
Rune_513 created with Fire:6138, Earth:6476, Water:2748, Dark:20039053, Light:15362
Rune_514 created with Fire:5687, Earth:7831, Water:7408, Dark:20073207, Light:20926
Rune_515 created with Fire:2958, Earth:6015, Water:5370, Dark:20113944, Light:14343
Rune_516 created with Fire:5528, Earth:6612, Water:3990, Dark:20152894, Light:16130
Rune_517 created with Fire:5826, Earth:7294, Water:6444, Dark:20188410, Light:19564
Rune_518 created with Fire:8328, Earth:6412, Water:4257, Dark:20224493, Light:18997
Rune_519 created with Fire:3778, Earth:6586, Water:6014, Dark:20263195, Light:16378
Rune_520 created with Fire:7346, Earth:4040, Water:4797, Dark:20302092, Light:16183
Rune_521 created with Fire:3352, Earth:4137, Water:7162, Dark:20342521, Light:14651
Rune_522 created with Fire:6623, Earth:1724, Water:6805, Dark:20382449, Light:15152
Rune_523 created with Fire:5538, Earth:6832, Water:4946, Dark:20420213, Light:17316
Rune_524 created with Fire:4941, Earth:2682, Water:4743, Dark:20462927, Light:12366
Rune_525 created with Fire:5008, Earth:3861, Water:5542, Dark:20503596, Light:14411
Rune_526 created with Fire:5868, Earth:5016, Water:5753, Dark:20542039, Light:16637
Rune_527 created with Fire:5241, Earth:5033, Water:5357, Dark:20581488, Light:15631
Rune_528 created with Fire:2951, Earth:4930, Water:4806, Dark:20623881, Light:12687
Rune_529 created with Fire:2480, Earth:10340, Water:9594, Dark:20656547, Light:22414
Rune_530 created with Fire:5160, Earth:7800, Water:6356, Dark:20692311, Light:19316
Rune_531 created with Fire:6412, Earth:3514, Water:6328, Dark:20731137, Light:16254
Rune_532 created with Fire:2608, Earth:4068, Water:8510, Dark:20771031, Light:15186
Rune_533 created with Fire:3678, Earth:7606, Water:4354, Dark:20810473, Light:15638
Rune_534 created with Fire:5503, Earth:3109, Water:8783, Dark:20848158, Light:17395
Rune_535 created with Fire:8033, Earth:3087, Water:4495, Dark:20887623, Light:15615
Rune_536 created with Fire:9730, Earth:6152, Water:4367, Dark:20922454, Light:20249
Rune_537 created with Fire:10676, Earth:7094, Water:11870, Dark:20947894, Light:29640
Rune_538 created with Fire:4213, Earth:4279, Water:7274, Dark:20987208, Light:15766
Rune_539 created with Fire:7486, Earth:6920, Water:8618, Dark:21019264, Light:23024
Rune_540 created with Fire:5459, Earth:3223, Water:5649, Dark:21060013, Light:14331
Rune_541 created with Fire:3185, Earth:5324, Water:1474, Dark:21105110, Light:9983
Rune_542 created with Fire:5003, Earth:6381, Water:3591, Dark:21145215, Light:14975
Rune_543 created with Fire:4389, Earth:5710, Water:6810, Dark:21183386, Light:16909
Rune_544 created with Fire:2389, Earth:7193, Water:3216, Dark:21225668, Light:12798
Rune_545 created with Fire:5174, Earth:1769, Water:6486, Dark:21267319, Light:13429
Rune_546 created with Fire:3830, Earth:6966, Water:6444, Dark:21305159, Light:17240
Rune_547 created with Fire:1870, Earth:2896, Water:4531, Dark:21350942, Light:9297
Rune_548 created with Fire:6651, Earth:3230, Water:5776, Dark:21390365, Light:15657
Rune_549 created with Fire:4924, Earth:8298, Water:2312, Dark:21429911, Light:15534
Rune_550 created with Fire:7118, Earth:6861, Water:5858, Dark:21465154, Light:19837
Rune_551 created with Fire:6393, Earth:3406, Water:5667, Dark:21504768, Light:15466
Rune_552 created with Fire:6533, Earth:10541, Water:6572, Dark:21536202, Light:23646
Rune_553 created with Fire:4476, Earth:4182, Water:4680, Dark:21577944, Light:13338
Rune_554 created with Fire:4315, Earth:5749, Water:3837, Dark:21619123, Light:13901
Rune_555 created with Fire:3772, Earth:4714, Water:4836, Dark:21660881, Light:13322
Rune_556 created with Fire:9355, Earth:3468, Water:4518, Dark:21698620, Light:17341
Rune_557 created with Fire:4008, Earth:5249, Water:1146, Dark:21743297, Light:10403
Rune_558 created with Fire:3434, Earth:3496, Water:6573, Dark:21784874, Light:13503
Rune_559 created with Fire:8383, Earth:9019, Water:6303, Dark:21816249, Light:23705
Rune_560 created with Fire:7857, Earth:4866, Water:4471, Dark:21854135, Light:17194
Rune_561 created with Fire:6175, Earth:8314, Water:4478, Dark:21890248, Light:18967
Rune_562 created with Fire:4927, Earth:5603, Water:4504, Dark:21930294, Light:15034
Rune_563 created with Fire:4962, Earth:9770, Water:3220, Dark:21967422, Light:17952
Rune_564 created with Fire:3235, Earth:5710, Water:6066, Dark:22007491, Light:15011
Rune_565 created with Fire:4028, Earth:3271, Water:1970, Dark:22053302, Light:9269
Rune_566 created with Fire:5036, Earth:6435, Water:3067, Dark:22093844, Light:14538
Rune_567 created with Fire:2520, Earth:6420, Water:2980, Dark:22137004, Light:11920
Rune_568 created with Fire:3390, Earth:3421, Water:4998, Dark:22180275, Light:11809
Rune_569 created with Fire:4571, Earth:6122, Water:3273, Dark:22221389, Light:13966
Rune_570 created with Fire:5024, Earth:4960, Water:6350, Dark:22260135, Light:16334
Rune_571 created with Fire:5234, Earth:6774, Water:7154, Dark:22296053, Light:19162
Rune_572 created with Fire:4920, Earth:5300, Water:4864, Dark:22336049, Light:15084
Rune_573 created with Fire:2530, Earth:7096, Water:4286, Dark:22377217, Light:13912
Rune_574 created with Fire:2765, Earth:2588, Water:6111, Dark:22420833, Light:11464
Rune_575 created with Fire:8968, Earth:5473, Water:6337, Dark:22455135, Light:20778
Rune_576 created with Fire:7237, Earth:7211, Water:6336, Dark:22489431, Light:20784
Rune_577 created with Fire:5385, Earth:3001, Water:5341, Dark:22530784, Light:13727
Rune_578 created with Fire:4172, Earth:5292, Water:1844, Dark:22574556, Light:11308
Rune_579 created with Fire:4788, Earth:8396, Water:5804, Dark:22610648, Light:18988
Rune_580 created with Fire:5524, Earth:4027, Water:4529, Dark:22651648, Light:14080
Rune_581 created with Fire:4542, Earth:11471, Water:10227, Dark:22680488, Light:26240
Rune_582 created with Fire:5080, Earth:2672, Water:8790, Dark:22719026, Light:16542
Rune_583 created with Fire:4130, Earth:6253, Water:7574, Dark:22756149, Light:17957
Rune_584 created with Fire:6822, Earth:3277, Water:6406, Dark:22794724, Light:16505
Rune_585 created with Fire:4424, Earth:7015, Water:6325, Dark:22832040, Light:17764
Rune_586 created with Fire:1072, Earth:8239, Water:9859, Dark:22867950, Light:19170
Rune_587 created with Fire:5494, Earth:4808, Water:3551, Dark:22909177, Light:13853
Rune_588 created with Fire:5341, Earth:8124, Water:8204, Dark:22942588, Light:21669
Rune_589 created with Fire:8600, Earth:6600, Water:2089, Dark:22980379, Light:17289
Rune_590 created with Fire:7144, Earth:2737, Water:3588, Dark:23021990, Light:13469
Rune_591 created with Fire:5425, Earth:5229, Water:5436, Dark:23060980, Light:16090
Rune_592 created with Fire:3792, Earth:6490, Water:4638, Dark:23101140, Light:14920
Rune_593 created with Fire:2887, Earth:1294, Water:4705, Dark:23147334, Light:8886
Rune_594 created with Fire:3585, Earth:5825, Water:6467, Dark:23186537, Light:15877
Rune_595 created with Fire:7850, Earth:7924, Water:5491, Dark:23220352, Light:21265
Rune_596 created with Fire:4937, Earth:6953, Water:4384, Dark:23259158, Light:16274
Rune_597 created with Fire:2661, Earth:4078, Water:9423, Dark:23298076, Light:16162
Rune_598 created with Fire:8440, Earth:5292, Water:9787, Dark:23329637, Light:23519
Rune_599 created with Fire:3318, Earth:7667, Water:4845, Dark:23368887, Light:15830
Rune_600 created with Fire:4479, Earth:4954, Water:5557, Dark:23408977, Light:14990
Rune_601 created with Fire:7956, Earth:4646, Water:4762, Dark:23446693, Light:17364
Rune_602 created with Fire:2325, Earth:2379, Water:5517, Dark:23491552, Light:10221
Rune_603 created with Fire:9120, Earth:4526, Water:6722, Dark:23526264, Light:20368
Rune_604 created with Fire:6724, Earth:3958, Water:8372, Dark:23562290, Light:19054
Rune_605 created with Fire:6436, Earth:4984, Water:5800, Dark:23600150, Light:17220
Rune_606 created with Fire:4443, Earth:4027, Water:8701, Dark:23638059, Light:17171
Rune_607 created with Fire:7987, Earth:3545, Water:3316, Dark:23678291, Light:14848
Rune_608 created with Fire:6090, Earth:1834, Water:4886, Dark:23720561, Light:12810
Rune_609 created with Fire:5494, Earth:7159, Water:5721, Dark:23757267, Light:18374
Rune_610 created with Fire:4082, Earth:7498, Water:6332, Dark:23794435, Light:17912
Rune_611 created with Fire:4701, Earth:2517, Water:8889, Dark:23833408, Light:16107
Rune_612 created with Fire:5039, Earth:6729, Water:4624, Dark:23872096, Light:16392
Rune_613 created with Fire:2250, Earth:3429, Water:4317, Dark:23917180, Light:9996
Rune_614 created with Fire:5779, Earth:4825, Water:8967, Dark:23952689, Light:19571
Rune_615 created with Fire:3798, Earth:6560, Water:5168, Dark:23992243, Light:15526
Rune_616 created with Fire:10333, Earth:6687, Water:7055, Dark:24023248, Light:24075
Rune_617 created with Fire:6022, Earth:3959, Water:2999, Dark:24065348, Light:12980
Rune_618 created with Fire:3535, Earth:6061, Water:5190, Dark:24105642, Light:14786
Rune_619 created with Fire:5178, Earth:5216, Water:5340, Dark:24144988, Light:15734
Rune_620 created with Fire:7094, Earth:7202, Water:4878, Dark:24180894, Light:19174
Rune_621 created with Fire:7935, Earth:10071, Water:10005, Dark:24207963, Light:28011
Rune_622 created with Fire:5627, Earth:2623, Water:4364, Dark:24250429, Light:12614
Rune_623 created with Fire:5279, Earth:5235, Water:2279, Dark:24292716, Light:12793
Rune_624 created with Fire:3181, Earth:5171, Water:3495, Dark:24335949, Light:11847
Rune_625 created with Fire:4329, Earth:4641, Water:5959, Dark:24376100, Light:14929
Rune_626 created with Fire:2480, Earth:4350, Water:2982, Dark:24421368, Light:9812
Rune_627 created with Fire:6206, Earth:6846, Water:7317, Dark:24456079, Light:20369
Rune_628 created with Fire:8307, Earth:6542, Water:4585, Dark:24491725, Light:19434
Rune_629 created with Fire:3313, Earth:5003, Water:6670, Dark:24531819, Light:14986
Rune_630 created with Fire:2308, Earth:2984, Water:6305, Dark:24575302, Light:11597
Rune_631 created with Fire:4827, Earth:3815, Water:4606, Dark:24617134, Light:13248
Rune_632 created with Fire:5009, Earth:4665, Water:3203, Dark:24659337, Light:12877
Rune_633 created with Fire:3224, Earth:1742, Water:6390, Dark:24703061, Light:11356
Rune_634 created with Fire:5274, Earth:3456, Water:6397, Dark:24743014, Light:15127
Rune_635 created with Fire:4852, Earth:3326, Water:718, Dark:24789198, Light:8896
Rune_636 created with Fire:5796, Earth:6466, Water:7213, Dark:24824803, Light:19475
Rune_637 created with Fire:5632, Earth:6117, Water:3789, Dark:24864345, Light:15538
Rune_638 created with Fire:7257, Earth:5289, Water:5062, Dark:24901817, Light:17608
Rune_639 created with Fire:10426, Earth:9943, Water:7108, Dark:24929420, Light:27477
Rune_640 created with Fire:5941, Earth:8779, Water:4544, Dark:24965236, Light:19264
Rune_641 created with Fire:6177, Earth:3089, Water:2721, Dark:25008329, Light:11987
Rune_642 created with Fire:1942, Earth:5153, Water:8065, Dark:25048249, Light:15160
Rune_643 created with Fire:1281, Earth:7401, Water:7120, Dark:25087527, Light:15802
Rune_644 created with Fire:4144, Earth:5171, Water:4763, Dark:25128529, Light:14078
Rune_645 created with Fire:4528, Earth:3817, Water:2684, Dark:25172580, Light:11029
Rune_646 created with Fire:4752, Earth:3991, Water:5086, Dark:25213831, Light:13829
Rune_647 created with Fire:5369, Earth:7176, Water:8028, Dark:25248338, Light:20573
Rune_648 created with Fire:3774, Earth:5284, Water:3958, Dark:25290402, Light:13016
Rune_649 created with Fire:5438, Earth:9564, Water:7891, Dark:25322589, Light:22893
Rune_650 created with Fire:3735, Earth:5833, Water:2311, Dark:25365790, Light:11879
Rune_651 created with Fire:9162, Earth:5170, Water:6530, Dark:25400008, Light:20862
Rune_652 created with Fire:4589, Earth:7710, Water:3015, Dark:25439774, Light:15314
Rune_653 created with Fire:7962, Earth:8800, Water:743, Dark:25477349, Light:17505
Rune_654 created with Fire:4022, Earth:6663, Water:6139, Dark:25515605, Light:16824
Rune_655 created with Fire:7647, Earth:7400, Water:5176, Dark:25550462, Light:20223
Rune_656 created with Fire:1715, Earth:7010, Water:5698, Dark:25591119, Light:14423
Rune_657 created with Fire:3333, Earth:6736, Water:5137, Dark:25630993, Light:15206
Rune_658 created with Fire:3434, Earth:4672, Water:7251, Dark:25670716, Light:15357
Rune_659 created with Fire:4819, Earth:9417, Water:1416, Dark:25710144, Light:15652
